Book Name,Author,Cover Image Path,Genre,Abstract
Ten Days in a Mad-House: Nellie Bly's Experience on Blackwell's Island. Feigning Insanity in Order to Reveal Asylum Horrors,"
Nellie Bly

, 
Nellie Bly

, and 
BookCaps",images/Horror_Ten Days in a Mad-House: Nellie Bly's Exper.jpg,Horror,"In the 1800s, journalist Nellie Bly pretended to be mentally ill  and spent 10 days in an insane asylum in order to report on conditions and abuses there."
THE BOYFRIEND (POINT HORROR S.),"
Robert Lawrence Stine",images/Horror_THE BOYFRIEND (POINT HORROR S.).jpg,Horror,"A girl gets dumped by her ""boyfriend"" and gets angry... angry enough to kill him.Now he's back....back from the grave."
The first horror,"
Robert Lawrence Stine",images/Horror_The first horror.jpg,Horror,The first book in a scary new trilogy contributing to a series with more than 8.5 million copies in print. Here begins the terrifying story of a family who moves into the house that even their neighbors on Fear Street are afraid to enter. Twin sisters must learn the secret of the evil or be the next victims.
The Snowman (Point Horror),"
Robert Lawrence Stine",images/Horror_The Snowman (Point Horror).jpg,Horror,"Heather feels cold all the time. Alone. Her guardian hates her. He'd like to see her dead. He'd like all her money. But for now he settles for controlling it, and making Heather's life miserable.

Poor little rich girl, just like Cinderella...

Then the gorgeous, ice-blond guy shows up at the crummy restaurant where Heather works after school. He understands about Heather. He's her Prince Charming. No one can get to Heather now.

Heather feels so safe. So loved. So warm..."
The Dunwich horror,"
H.P. Lovecraft",images/Horror_The Dunwich horror.jpg,Horror,16 tales of the macabre.
Prime evil: new stories by the masters of modern horror,"
Douglas. Winter

, 
Douglas E. Winter

, 
Stephen King

, 
Paul Hazel

, 
Dennis Etchison

, 
Clive Barker

, 
Thomas Tessier

, 
M. John Harrison

, 
David Morrell

, and 11 others",images/Horror_Prime evil: new stories by the masters of m.jpg,Horror,"Night flier / Stephen King--Having a woman at lunch / Paul Hazel --Blood kiss / Dennis Etchison --Coming to grief / Clive Barker --Food / Thomas Tessier --Great God Pan / M. John Harrison --Orange is for anguish, blue for insanity / David Morrell --Juniper tree / Peter Straub --Spinning tales with the dead / Charles L. Grant --Alice's last adventure / Thomas Ligotti --Next time you'll know me / Ramsey Campbell --Pool / Whitley Strieber --By reason of darkness / Jack Cady."
#Horror,"
Siddhartha Sarma",images/Horror_#Horror.jpg,Horror,"""The oldest and strongest emotion of mankind is fear, and the oldest and strongest kind of fear is the fear of the unknown. This spin-tingling collection of horror stories feature some of Inida's finest new voices in contemporary fiction""--Back cover."
Dark Forces: New Stories of Suspense and Supernatural Horror,"
KirMcCauley

, 
Dennis Etchison

, 
Isaac Bashevis Singer

, 
Edward Bryant

, 
Davis Grubb

, 
Robert Aickman

, 
Karl Edward Wagner

, 
Joyce Carol Oates

, 
T. E. D. Klein

, and 16 others",images/Horror_Dark Forces: New Stories of Suspense and Su.jpg,Horror,Contains:The Late Shift by Dennis EtchisonThe Enemy by Isaac Bashevis SingerDark Angel by Edward BryantThe Crest of Thirty-six by Davis GrubbMark Ingestre: The Customer’s Tale by Robert AickmanWhere the Summer Ends by Karl Edward WagnerThe Bingo Master by Joyce Carol OatesChildren of the Kingdom by T. E. D. KleinThe Detective of Dreams by Gene WolfeVengeance Is. By Theodore SturgeonThe Brood by Ramsey CampbellThe Whistling Well by Clifford D. SimakThe Peculiar Demesne by Russell KirkWhere the Stones Grow by Lisa TuttleThe Night Before Christmas by Robert BlochThe Stupid Joke by Edward GoreyA Touch of Petulance by Ray BradburyLindsay and the Red City Blues by Joe HaldemanA Garden of Blackred Roses by Charles L. GrantOwls Hoot in the Daytime by Manly Wade WellmanWhere There’s a Will by Richard Matheson and Richard Christian MathesonTraps by Gahan WilsonThe Mistby Stephen King
The Accident (Point Horror),"
Diane Hoh",images/Horror_The Accident (Point Horror).jpg,Horror,"She appears in Megan's mirror one day, nothing more than a wispy, shadowy plume, glowing with an eerie light.  Her voice is faint and hollow, like a distant echo.  The voice of a young girl."
Thirteen: 13 tales of horror,"
T. Pines

, 
D. E. Athkins

, 
A. Bates

, 
Jay Bennett

, 
Caroline B. Cooney

, 
Carol Ellis

, 
Diane Hoh

, 
Lael Littke

, 
Christopher Pike

, and 6 others",images/Horror_Thirteen: 13 tales of horror.jpg,Horror,"You don't really want to read this ... do you? The masters of horror are waiting to take you on a terrifying ride, and there are 13 stops. Meet the new guy in town, very handsome, very sexy, and very deadly. Dine on sweet and wonderfully inviting confections -- they're good to the last breath. Learn that some spells can never be broken. Inside you'll find the works of 13 masters of horror. Let Christopher Pike, R.L. Stine, and the rest of our macabre crew show you the beauty in your worst nightmares -- and the terror in your most exquisite dreams."
Why I Quit Zombie School: Goosebumps Hall of Horrors #4,"
Robert Lawrence Stine",images/Horror_Why I Quit Zombie School: Goosebumps Hall o.jpg,Horror,"When Matt's parents send him to a strange boarding school, where the students move at a dead-slow pace, he begins to suspect he has been enrolled in a school for zombies."
The Second Horror,"
Robert Lawrence Stine",images/Horror_The Second Horror.jpg,Horror,"In this second novel of the trilogy, Brandt McCloy thinks moving to his new house is great. He doesn't know that Cally Frasier still haunts the house and plans gruesome deaths for him and everything close to him. Poor Brandt--what he doesn't know will hurt him!"
Escape From HorrorLand: Goosebumps HorrorLand #11,"
Robert Lawrence Stine",images/Horror_Escape From HorrorLand: Goosebumps HorrorLa.jpg,Horror,"""Lizzie and Luke have uncovered secret information about the freaky amusement park. Lizzie wants to help the others, but since the twins don't trust her, they're all in a deadlock. Did someone say DEAD? A trip through the Hall of Mirrors lets the kids escape HorrorLand and enter Panic Park. Safe at last! Or are they? Why are there no exits? What's in the Tunnel of Hate? Have they been tricked again?""--P. [4] of cover."
50 great horror stories,"
John Canning",images/Horror_50 great horror stories.jpg,Horror,Fifty of the strangest horror stories of this age and other ages.
Claws!: Goosebumps Hall of Horrors #1,"
R. L. Stine",images/Horror_Claws!: Goosebumps Hall of Horrors #1.jpg,Horror,"""Mickey is put in charge of his vacationing neighbors' cat, Bella. His best friend, Amanda, comes along to help out. All they have to do is make sure Bella has enough to eat and doesn't destroy the furniture. Seems simple enough. But Bella escapes from the house and is hit by a truck. Mickey feels awful. What is he going to do? Amanda has an idea to replace the cat with a look-alike from the local pet store, Cat Heaven. They find a cat that looks exactly like Bella, but the clerk won't sell it to them, so they decide to steal it. Big mistake! These cats are more than they seem to be...""--P. [4] of cover."
The Lifeguard: Point Horror/24 Copy (Point Horror),"
Richie Tankersley Cusick",images/Horror_The Lifeguard: Point Horror24 Copy (Point H.jpg,Horror,"Kelsey's summer should have been paradise: An invitation to rich and famous Beverly Island, complete with sun-drenched beaches and three gorgeous lifeguards on duty. But Kelsy's summer is the opposite of paradise. It starts with the note under her pillow from a girl who's missing. Then there's the crazy man in the lighthouse who won't leave Kelsey alone. And there have been a number of suspicious drownings ... At least she has the lifeguards around to protect her ... Poor Kelsey. Someone forgot to tell her that lifeguards don't always like to save lives. Ages 12-up.Copyright 1988 Reed Business Information, Inc. -the actual description-"
Tales for the midnight hour: stories of horror,"
Judith Bauer Stamper

, 
J. B. Stamper

, and 
Jb Stamper",images/Horror_Tales for the midnight hour: stories of hor.jpg,Horror,"These seventeen stories are guaranteed to keep you awake and shivering with fear. We dare you to read them alone, late at night. The moon is full. The clock strikes twelve. Don't be afraid. But what's that sound? Footsteps in the hall? It's just the dog. The creaking door? Merely the wind blowing. And is that a face at the window? Or is it just your imagination. Read these stories at your own risk. But be prepared to be scared out of your wits."
The Cheerleader (Point Horror),"
Caroline B. Cooney",images/Horror_The Cheerleader (Point Horror).jpg,Horror,"She wants it all. But he wants more.The cheerleader. The beautiful, popular girl who sparkles with energy and excitement. The girl everyone looks at with envy. The girl Althea longs to be.Althea is nobody. Invisible. She gets no phone calls, shares no laughter, has no friends.Until she meets him.""Suppose,"" he says with an evil smile, ""that I can make you popular."" All Althea has to do is agree to a simple bargain. An evil bargain. And she becomes a cheerleader.But Althea wants more.And she'll do whatever she has to do to get it."
Necroscope,"
Brian Lumley",images/Horror_Necroscope.jpg,Horror,"From the back cover:

DEAD MEN TELL NO TALES

Except to Harry Keogh, the Necroscope.  And what they tell him is horrifying.

Long buried in the mountains of Romania, bound by earth and silver, a master vampire lies trapped between death and life.  Thibor Ferenczy hungers for freedom and plots an unearthly revenge.

The vampire's human tool is Boris Dragosani, an agent for a supersecret Russian spy agency.  Dragosani is eager to plumb the depthless evil of the vampire's mind.  Ferenczy teaches Dragosani the terrible skills of the necromancer, giving him the ability to rip secrets from the minds and bodies of the dead.

Dragosani's hidden goal is to rule the world, forging an iron grip with knowledge raped from the dead.

His only opponent: Harry Keogh, champion of the living and the dead.

To protect Harry, the dead will do anything -- even rise from the graves!"
Escape From the Carnival of Horrors,"
Robert Lawrence Stine",images/Horror_Escape From the Carnival of Horrors.jpg,Horror,"Readers are invited to test the creepy rides at the annual carnival, such as Reptile Petting Zoo and Booger Bog, in this scary adventure packed with over 20 spooky endings."
Hellboy: An Assortment of Horrors,"
Michael Mignola

, 
Mike Mignola

, 
John Byrne

, 
Duncan Fegredo

, and 
Dave Stewart",images/Horror_Hellboy: An Assortment of Horrors.jpg,Horror,"A collection of graphic stories about Hellboy, a creature summoned by a sorcerer working for Hitler in 1944."
Horror Stories,"
Susan Price

, 
Algernon Blackwood

, 
Stephen King

, 
Charles Dickens

, 
John Steinbeck

, and 
Edgar Allan Poe",images/Horror_Horror Stories.jpg,Horror,"The kit-bag / Algernon Blackwood --Here there be tygers / Stephen King --The room in the tower / E.F. Benson --Beyond lies the wub / Philip K. Dick --Feeding the dog / Susan Price --Teddies rule, ok? / Nicholas Fisk --Grendel the monster / Eleanor Farjeon --A grave misunderstanding / Leon Garfield --Captain Murderer / Charles Dickens (from the Uncommercial traveler) --Something / Joan Aiken --The hand / Guy de Maupassant --The boy next door / Ellen emerson White --The murder hole / Scottish Folktale --The famous five go pillaging / Terry Jones and Michael Pillaging.The affair at 7 Rue De M--/ John Steinbeck --A change of aunts / Vivien Alcock --Cask of Amontillado/ Edgar Allan Poe --The pear-drum / English folktale --The Dog got them / Philippa Pearce --Gabriel-Ernest / Saki (H.H. Munro) --Nule / Jan Mark --The dancing partner / Jerome K. Jerome --The ring / Margaret Bingley --The troll / T.H. White."
Slappy and other horror stories,"
Jamie Tolagson

, 
Ted Naifeh

, 
Dave Roman

, and 
Robert Lawrence Stine",images/Horror_Slappy and other horror stories.jpg,Horror,"A collection of short graphic novels featuring characters from famous ""Goosebumps"" stories includes ""Ghost Beach,"" in which two siblings investigate a local legend and discover a terrible secret about their family."
The 20th Panbook of horror stories,"
Herbert Van Thal",images/Horror_The 20th Panbook of horror stories.jpg,Horror,Twenty-one stories to make you bristle and shiver.  Twenty-one stories to disturb your dreams.  Twenty-one stories on the wings of terror.  By twenty-one of the greatest masters of the macabre ever to write in the English language.
Point horror collection 6: the Caroline B. Cooney collection,"
Caroline B. Cooney",images/Horror_Point horror collection 6: the Caroline B. .jpg,Horror,
Return to the carnival of horrors,"
Robert Lawrence Stine",images/Horror_Return to the carnival of horrors.jpg,Horror,"IT'S THE RIDE OF YOUR LIFE...AGAIN!

You escaped the first time. But Big Al, the evil carnival manager, wants your second visit to last forever!

You've got to get out there—before midnight. If you win three midway games, you have a chance. But the games are horrifyingly hard. Like Q Quest. If you pick the wrong number, the penalty will really blow you away!

Maybe you should look for a way out on the rides. But watch out for the Roller Ghoster. It's a steer-yourself roller coaster—filled with ghosts!

The choice is yours in this scary GOOSEBUMPS adventure that's packed with over 20 super-spooky endings!"
Modern Masters of Horror,"
Frank Coffey

, 
Stephen King

, 
William H. Hallahan

, 
Robert Bloch

, 
George A. Romero

, 
John Coyne

, 
Robert R. McCammon

, 
William F. Nolan

, 
Davis Grubb

, and 8 others",images/Horror_Modern Masters of Horror.jpg,Horror,"Welcome to the Mausoleum of Fame--a dark, hallowed temple of fear--where today's greatest masters of terror unleash mankind's wildest nightmares. Here are fifteen tales designed to shatter the soul by horror greats such as Stephen King, Robert R. McCammon, George A. Romero and more.--back cover"
Phoenix and the Carpet: Fantasy Novel for Children,"
Edith Nesbit",images/Fantasy_Phoenix and the Carpet: Fantasy Novel for .jpg,Fantasy,"Five British children discover in their new carpet an egg, which hatches into a phoenix that takes them on a series of fantastic adventures around the world."
Enchanted Castle: Children's Fantasy Novel,"
Edith Nesbit",images/Fantasy_Enchanted Castle: Children's Fantasy Novel.jpg,Fantasy,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening."
Peter Pan: a fantasy in five acts,"
J. M. Barrie",images/Fantasy_Peter Pan: a fantasy in five acts.jpg,Fantasy,"The adventures of the three Darling children in Never-Never Land with Peter Pan, the boy who would not grow up."
Carmilla (Biblioteca De Fantasia Y Terror / Fantasy and Horror Library),"
Joseph Sheridan Le Fanu",images/Fantasy_Carmilla (Biblioteca De Fantasia Y Terror .jpg,Fantasy,https://openlibrary.org/works/OL2895536W
The King in Yellow (American Literary Fantasy Classics),"
Robert W. Chambers",images/Fantasy_The King in Yellow (American Literary Fant.jpg,Fantasy,"An important early classic of fantasy/sci-fi.  [Main story:] The ill effects of a soul-destroying play, to read which brings doom.  A discovery that changes living flesh to stone.  The mad adherents of a cult of evil powers from beyond. A lost traveler is suddenly 400 years in the past.Great writing; powerful emotions. Chambers wrote mainly conventional stuff, but not here."
Hobbit: An Illustrated Edition of the Fantasy Classic,"
J.R.R. Tolkien",images/Fantasy_Hobbit: An Illustrated Edition of the Fant.jpg,Fantasy,"The Hobbit is a tale of high adventure, undertaken by a company of dwarves in search of dragon-guarded gold. A reluctant partner in this perilous quest is Bilbo Baggins, a comfort-loving unambitious hobbit, who surprises even himself by his resourcefulness and skill as a burglar.

Encounters with trolls, goblins, dwarves, elves, and giant spiders, conversations with the dragon, Smaug, and a rather unwilling presence at the Battle of Five Armies are just some of the adventures that befall Bilbo.

Bilbo Baggins has taken his place among the ranks of the immortals of children’s fiction. Written by Professor Tolkien for his children, The Hobbit met with instant critical acclaim when published."
The Fellowship of the Ring : The Classic Bestselling Fantasy Novel: Book 1,"
J.R.R. Tolkien",images/Fantasy_The Fellowship of the Ring : The Classic B.jpg,Fantasy,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

“A unique, wholly realized other world, evoked from deep in the well of Time, massively detailed, absorbingly entertaining, profound in meaning.”—The New York Times

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose."
"The War of the Worlds (Essential Gothic, SF & Dark Fantasy)","
H. G. Wells","images/Fantasy_The War of the Worlds (Essential Gothic, S.jpg",Fantasy,"The ultimate science fiction classic: for more than one hundred years, this compelling tale of the Martian invasion of Earth has enthralled readers with a combination of imagination and incisive commentary on the imbalance of power that continues to be relevant today. The style is revolutionary for its era, employing a sophisticated first and third person account of the events which is both personal and focused on the holistic downfall of Earth's society. The Martians, as evil, mechanical and unknown a threat they are, remain daunting in today's society, where, despite technology's mammoth advances, humanity's hegemony over Earth is yet to be called into question. In Well's introduction to the book, where the character discusses with the later deceased Ogilvy about astronomy and the possibility of alien life defeating the 'savage' (to them) nineteenth-century Britain, is he insinuating that this is the truth and fate of humanity? It's up to you to decide…"
The Return of the King : The Classic Bestselling Fantasy Novel: Book 3,"
J.R.R. Tolkien",images/Fantasy_The Return of the King : The Classic Bests.jpg,Fantasy,"THE RETURN OF THE KING, which brings to a close the great epic of war and adventure begun in The Fellowship of the Ring and continued in The Two Towers, is the third and final part of J. R. R. Tolkien's masterpiece, ""The Lord of the Rings.""

In these three books, which form one continuous narrative, Tolkien created the saga of the Hobbits of Middle-earth and the great War of the Rings. Praised by such writers and poets as W. H. Auden, Richard Hughes and C. S. Lewis, ""The Lord of the Rings"" - that special world of beauty and terror and meaning - holds a secure place among the books that will live.

Also contained in:"
The Time Machine (Essential Gothic & Dark Fantasy),"
H. G. Wells",images/Fantasy_The Time Machine (Essential Gothic & Dark .jpg,Fantasy,"The Time Traveller, a dreamer obsessed with traveling through time, builds himself a time machine and, much to his surprise, travels over 800,000 years into the future. He lands in the year 802701: the world has been transformed by a society living in apparent harmony and bliss, but as the Traveler stays in the future he discovers a hidden barbaric and depraved subterranean class. Wells's transparent commentary on the capitalist society was an instant bestseller and launched the time-travel genre."
Romeo and Juliet - Fantasy Illustrated Edition,"
William Shakespeare",images/Fantasy_Romeo and Juliet - Fantasy Illustrated Edi.jpg,Fantasy,"Romeo and Juliet is a tragedy written by William Shakespeare early in his career about two young Italian star-crossed lovers whose deaths ultimately reconcile their feuding families. It was among Shakespeare's most popular plays during his lifetime and, along with Hamlet, is one of his most frequently performed plays. Today, the title characters are regarded as archetypal young lovers."
"Frankenstein: or, The Modern Prometheus (Essential Gothic, SF & Dark Fantasy)","
Mary Shelley","images/Fantasy_Frankenstein: or, The Modern Prometheus (E.jpg",Fantasy,"Frankenstein; or, The Modern Prometheusis an 1818 novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment. Shelley started writing the story when she was 18, and the first edition was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared in the second edition, which was published in Paris in 1821."
The Sleeper Awakes,"
H. G. Wells",images/Fantasy_The Sleeper Awakes.jpg,Fantasy,"A troubled insomniac in 1890s England falls suddenly into a sleep-like trance, from which he does not awake for over two hundred years. During his centuries of slumber, however, investments are made that make him the richest and most powerful man on Earth. But when he comes out of his trance he is horrified to discover that the money accumulated in his name is being used to maintain a hierarchal society in which most are poor, and more than a third of all people are enslaved. Oppressed and uneducated, the masses cling desperately to one dream – that the sleeper will awake, and lead them all to freedom."
The Last Man,"
Mary Shelley",images/Fantasy_The Last Man.jpg,Fantasy,"Mary Shelley's astounding look at the end of the world Set at the end of the twenty-first century, The Last Man is a moving and fantastical account of the apocalypse. Faced with a populace clamoring for more democratic rule, the last king of England relinquishes his throne. Suddenly a mysterious plague sweeps the globe, drawing ever nearer to England. As war, disease, and death ravage humanity, ideals of fairness and love are quickly supplanted by the imperative of survival. With semibiographical characters drawn from Shelley's own inner circle of friends and colleagues, this book is at once a look at the end of mankind and a critique of Romanticism. The Last Man's themes of destruction resonate as much now as they did nearly two hundred years ago. This ebook has been professionally proofread to ensure accuracy and readability on all devices."
Flatland: A Romance of Many Dimensions,"
Edwin Abbott Abbott",images/Fantasy_Flatland: A Romance of Many Dimensions.jpg,Fantasy,"Flatland: A Romance of Many Dimensions, though written in 1884, is still considered useful in thinking about multiple dimensions. It is also seen as a satirical depiction of Victorian society and its hierarchies. A square, who is a resident of the two-dimensional Flatland, dreams of the one-dimensional Lineland. He attempts to convince the monarch of Lineland of the possibility of another dimension, but the monarch cannot see outside the line. The square is then visited himself by a Sphere from three-dimensional Spaceland, who must show the square Spaceland before he can conceive it. As more dimensions enter the scene, the story's discussion of fixed thought and the kind of inhuman action which accompanies it intensifies."
The Island of Doctor Moreau (SF Masterworks),"
H. G. Wells",images/Fantasy_The Island of Doctor Moreau (SF Masterwork.jpg,Fantasy,"Ranked among the classic novels of the English language and the inspiration for several unforgettable movies, this early work of H. G. Wells was greeted in 1896 by howls of protest from reviewers, who found it horrifying and blasphemous. They wanted to know more about the wondrous possibilities of science shown in his first book, The Time Machine, not its potential for misuse and terror. In The Island of Dr. Moreau, a shipwrecked gentleman named Edward Prendick, stranded on a Pacific island lorded over by the notorious Dr. Moreau, confronts dark secrets, strange creatures, and a reason to run for his life.

While this riveting tale was intended to be a commentary on evolution, divine creation, and the tension between human nature and culture, modern readers familiar with genetic engineering will marvel at Wells’s prediction of the ethical issues raised by producing “smarter” human beings or bringing back extinct species. These levels of interpretation add a richness to Prendick’s adventures on Dr. Moreau’s island of lost souls without distracting from what is still a rip-roaring good read."
A Game of Thrones: Perebutan Takhta,"
George R. R. Martin",images/Fantasy_A Game of Thrones: Perebutan Takhta.jpg,Fantasy,"A Game of Thrones is the first novel in A Song of Ice and Fire, a series of fantasy novels by the American author George R. R. Martin. It was first published on August 1, 1996. The novel won the 1997 Locus Award and was nominated for both the 1997 Nebula Award and the 1997 World Fantasy Award. The novella Blood of the Dragon, comprising the Daenerys Targaryen chapters from the novel, won the 1997 Hugo Award for Best Novella. In January 2011, the novel became a New York Times Bestseller and reached No. 1 on the list in July 2011."
"Der illustrierte Mann: Unheimlich, erschreckend und faszinierend - 16 preisgekrönte Stories von dem Meister der Fantasy und Science Fiction","
Ray Bradbury","images/Fantasy_Der illustrierte Mann: Unheimlich, erschre.jpg",Fantasy,The Illustrated Man is a 1951 collection of eighteen science fiction short stories by American writer Ray Bradbury. A recurring theme throughout the eighteen stories is the conflict of the cold mechanics of technology and the psychology of people. It was nominated for the International Fantasy Award in 1952.
Die Gräber von Atuan: fantasy-roman,"
Ursula K. Le Guin",images/Fantasy_Die Gräber von Atuan: fantasy-roman.jpg,Fantasy,Arha's isolated existence as high priestess in the tombs of Atuan is jarred by a thief who seeks a special treasure.
"The Eye of the World (The Wheel of Time, Book 1)","
Robert Jordan","images/Fantasy_The Eye of the World (The Wheel of Time, B.jpg",Fantasy,"The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow."
De ontheemde,"
Ursula K. Le Guin",images/Fantasy_De ontheemde.jpg,Fantasy,"Shevek, a brilliant physicist, decides to take action. He will seek answers, question the unquestionable, and attempt to tear down the walls of hatred that have isolated his planet of anarchists from the rest of the civilized universe.  To do this dangerous task will mean giving up his family and possibly his life.  Shevek must make the unprecedented journey to the planet, Anarres, to challenge the complex structures of life and living, and ignite the fires of change."
Das ferne Ufer: Fantasy-Roman. 3. Band des Erdsee-Zyklus,"
Ursula K. Le Guin",images/Fantasy_Das ferne Ufer: Fantasy-Roman. 3. Band des.jpg,Fantasy,"A young prince joins forces with a master wizard on a journey to discover a cause and remedy for the loss of magic in Earthsea. Darkness Threatens to overtake Earthsea. As the world and its wizards are losing their magic, Ged -- powerful Archmage, wizard, and dragonlord -- embarks on a sailing journey with highborn young prince, Arren. They travel far beyond the realm of death to discover the cause of these evil disturbances and to restore magic to a land desperately thirsty for it."
My Secret Garden: Women's Sexual Fantasies,"
Nancy Friday",images/Fantasy_My Secret Garden: Women's Sexual Fantasies.jpg,Fantasy,"First published in 1973, My Secret Garden ignited a firestorm of reactions across the nation—from outrage to enthusiastic support. Collected from detailed personal interviews with hundreds of women from diverse backgrounds, this book presents a bracingly honest account of women’s inner sexual fantasy lives. In its time, this book shattered taboos and opened up a conversation about the landscape of feminine desire in a way that was unprecedented.

Today, My Secret Garden remains one of the most iconic works of feminist literature of our time—and is still relevant to millions of women throughout the world."
Magic City: Children's Fantasy Novel,"
Edith Nesbit",images/Fantasy_Magic City: Children's Fantasy Novel.jpg,Fantasy,"An extremely unhappy ten-year-old magically escapes into a city he has built out of books, chessmen, candlesticks, and other household items."
Das Licht der Fantasie: Ein Roman von der bizarren Scheibenwelt,"
Terry Pratchett

 and 
Ernest Riera",images/Fantasy_Das Licht der Fantasie: Ein Roman von der .jpg,Fantasy,"From the back cover:

InThe Light Fantasticonly one individual can save the world from a disastrous collision.  Unfortunately, the hero happens to be the singularly inept wizard Rincewind, who was last seen falling off the edge of the world...."
